"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.142358223945506,0.154529610422356,-12.6151142741325,1.74304630332244e-36,0.104774820118924,0.192032750988552
"industryHealthcare",0.668742007847915,0.101756811252959,-3.95410318749798,7.68222521858393e-05,0.546161511331587,0.814150560365372
"industryLogistics",1.01739168841017,0.0794805886127126,0.216935785612052,0.82825838872874,0.870320772187543,1.18865447795034
"industryProfessional",0.604167331465657,0.0945506882219224,-5.32945967968362,9.85053857142111e-08,0.500917230176683,0.725853250077421
"industryRetail",0.771846931461986,0.0871892367272526,-2.97019487319208,0.00297610892351675,0.649818099978714,0.914775810163108
"vehicle_typeCargo_Van",0.727128728601436,0.099553956551135,-3.20079442279237,0.00137049273891107,0.599666806560568,0.886202373703856
"vehicle_typeDelivery_Truck",0.812172522335629,0.104055464650086,-1.99934233302565,0.045571326767873,0.663521760617451,0.998060789393611
"vehicle_typeLight_Truck",0.670079578628595,0.0967870819176331,-4.13649003198988,3.52658667108032e-05,0.555821920476491,0.81253043815235
"territorySuburban",1.34665793504221,0.101653397080231,2.92785020425312,0.00341314441302138,1.10608180639397,1.64813542349641
"territoryUrban",2.25928220574233,0.0929325058339908,8.7703129001321,1.78170463779702e-18,1.88976053026775,2.72107826518969
"fleet_size",1.00670968812197,0.00204062875006191,3.27706759511497,0.00104891255063213,1.00269411307996,1.01074831040431
"years_in_business",0.996677589490851,0.00255202680093548,-1.30403880123022,0.192220353162291,0.991701343972213,1.00167357244153
"driver_age_band31–40",0.919822682633741,0.0916467389343754,-0.911918577294816,0.361811581372478,0.768264347773881,1.1006140696307
"driver_age_band41–50",0.89114726329339,0.0920299376259934,-1.25226192120731,0.210474439363747,0.743715075557645,1.06705066841654
"driver_age_band51–60",0.906112822686278,0.0914701946756719,-1.07785331266045,0.281099223323084,0.757084512893815,1.08384720573455
"driver_age_band61–70",0.928573455240428,0.0915119429597725,-0.809793642148596,0.418058787311327,0.775787780561274,1.11080432703303
